filename,ground_truth,3G_pred,3G_conf,3G_accepted,3G_correct,3G_lat_ms,3L_pred,3L_conf,3L_accepted,3L_correct,3L_lat_ms,Hybrid_pred,Hybrid_conf,Hybrid_accepted,Hybrid_winner,Hybrid_correct,Hybrid_lat_ms,disagreement
1-Brihadeeswara_Temple-_Plinth_-Thanjavur-Tamilnadu_06.jpg,brihadeeswarar,airavatesvara,0.5172,False,False,43.50,brihadeeswarar,0.9911,True,True,34.67,brihadeeswarar,0.9911,True,Phase 3L,True,78.17,True
1-Brihadeeswara_Temple-_court_-Thanjavur-Tamilnadu_08.jpg,brihadeeswarar,airavatesvara,0.5789,True,False,37.24,gangaikonda-cholapuram,0.8122,True,False,28.87,gangaikonda-cholapuram,0.8122,True,Phase 3L,False,66.11,True
BT_net.jpg,brihadeeswarar,brihadeeswarar,0.8255,True,True,52.16,brihadeeswarar,0.9536,True,True,11.05,brihadeeswarar,0.9536,True,Phase 3L,True,63.21,False
Big_temple-Thanjavur.JPG,brihadeeswarar,brihadeeswarar,0.9877,True,True,53.11,brihadeeswarar,0.9999,True,True,8.12,brihadeeswarar,0.9877,True,Phase 3G,True,61.23,False
Big_temple_230.jpg,brihadeeswarar,gangaikonda-cholapuram,0.5365,True,False,31.39,brihadeeswarar,0.9984,True,True,16.03,brihadeeswarar,0.9984,True,Phase 3L,True,47.42,True
Big_temple_236.jpg,brihadeeswarar,brihadeeswarar,0.6694,True,True,45.07,brihadeeswarar,0.7627,True,True,51.72,brihadeeswarar,0.6694,True,Phase 3G,True,96.79,False
Big_temple_239.jpg,brihadeeswarar,brihadeeswarar,0.3956,True,True,37.78,brihadeeswarar,0.7415,True,True,39.27,brihadeeswarar,0.7415,True,Phase 3L,True,77.05,False
Big_temple_242.jpg,brihadeeswarar,meenakshi-amman,0.4383,False,False,16.89,brihadeeswarar,0.9947,True,True,73.68,brihadeeswarar,0.9947,True,Phase 3L,True,90.57,True
Big_temple_243.jpg,brihadeeswarar,brihadeeswarar,0.4585,False,False,14.90,brihadeeswarar,0.9991,True,True,76.70,brihadeeswarar,0.9991,True,Phase 3L,True,91.60,False
Big_temple_244.jpg,brihadeeswarar,brihadeeswarar,0.8600,True,True,42.71,brihadeeswarar,0.9998,True,True,38.29,brihadeeswarar,0.9998,True,Phase 3L,True,81.00,False
01MaduraiMeenakshiTempleGopuramCloserView.jpg,meenakshi-amman,meenakshi-amman,0.8974,True,True,44.54,meenakshi-amman,0.9672,True,True,36.28,meenakshi-amman,0.8974,True,Phase 3G,True,80.82,False
03_sunrise_view_of_Meenakshi_temple_gopuram.jpg,meenakshi-amman,meenakshi-amman,0.3141,False,False,38.19,brihadeeswarar,0.5237,True,False,49.02,brihadeeswarar,0.5237,True,Phase 3L,False,87.21,True
2014_gopuram_of_Meenakshi_Temple__Madurai_Tamil_Nadu.jpg,meenakshi-amman,meenakshi-amman,0.9343,True,True,44.40,brihadeeswarar,0.4965,False,False,64.80,meenakshi-amman,0.9343,True,Phase 3G,True,109.20,True
